FROM,TO,LINK,EVENT
7/7/1937,8/8/1937,https://ww2db.com/battle_spec.php?battle_id=25,Lugou Bridge Incident and Second Battle of Hebei
8/1/1937,8/12/1937,https://ww2db.com/battle_spec.php?battle_id=171,Battle of Chahar
8/1/1937,12/31/1937,https://ww2db.com/battle_spec.php?battle_id=280,Beiping-Hankou Railway and Tianjin-Pukou Railway Operations
8/13/1937,11/9/1937,https://ww2db.com/battle_spec.php?battle_id=85,Second Battle of Shanghai
8/15/1937,8/23/1943,https://ww2db.com/battle_spec.php?battle_id=281,"Bombing of Shanghai, Chongqing, and other Cities"
9/1/1937,11/11/1937,https://ww2db.com/battle_spec.php?battle_id=172,Battle of Shanxi
11/5/1937,11/5/1937,https://ww2db.com/battle_spec.php?battle_id=236,Hossbach Conference
12/9/1937,1/31/1938,https://ww2db.com/battle_spec.php?battle_id=38,Battle of Nanjing and the Rape of Nanjing
1/1/1938,11/10/1945,https://ww2db.com/battle_spec.php?battle_id=326,Burma Road and the Hump
2/7/1938,6/10/1938,https://ww2db.com/battle_spec.php?battle_id=174,Henan Campaign
3/12/1938,4/10/1938,https://ww2db.com/battle_spec.php?battle_id=86,Annexation of Austria
3/18/1938,3/18/1938,https://ww2db.com/battle_spec.php?battle_id=241,Meeting at Brenner Pass
3/24/1938,5/1/1938,https://ww2db.com/battle_spec.php?battle_id=173,Battle of Xuzhou
5/10/1938,5/12/1938,https://ww2db.com/battle_spec.php?battle_id=175,Battle of Xiamen
6/11/1938,10/27/1938,https://ww2db.com/battle_spec.php?battle_id=176,Battle of Wuhan
7/29/1938,8/11/1938,https://ww2db.com/battle_spec.php?battle_id=232,Battle of Lake Khasan
9/29/1938,10/10/1938,https://ww2db.com/battle_spec.php?battle_id=87,Munich Conference and the Annexation of Sudetenland
10/12/1938,12/31/1938,https://ww2db.com/battle_spec.php?battle_id=205,Guangdong Operation
10/24/1938,8/29/1939,https://ww2db.com/battle_spec.php?battle_id=162,The Danzig Crisis
11/2/1938,11/2/1938,https://ww2db.com/battle_spec.php?battle_id=255,First Vienna Arbitration
11/9/1938,11/11/1938,https://ww2db.com/battle_spec.php?battle_id=159,Kristallnacht
2/9/1939,2/12/1939,https://ww2db.com/battle_spec.php?battle_id=177,Battle of Hainan
3/14/1939,3/17/1939,https://ww2db.com/battle_spec.php?battle_id=88,Dismemberment of Czechoslovakia
3/17/1939,5/9/1939,https://ww2db.com/battle_spec.php?battle_id=178,Battle of Nanchang
3/22/1939,3/22/1939,https://ww2db.com/battle_spec.php?battle_id=161,Annexation of Klaipeda
3/23/1939,3/31/1939,https://ww2db.com/battle_spec.php?battle_id=231,The Slovak-Hungarian War
4/7/1939,4/12/1939,https://ww2db.com/battle_spec.php?battle_id=160,Invasion of Albania
4/20/1939,5/24/1939,https://ww2db.com/battle_spec.php?battle_id=200,Battle of Suixian-Zaoyang
5/11/1939,8/31/1939,https://ww2db.com/battle_spec.php?battle_id=89,Battle of Khalkhin Gol
5/22/1939,5/22/1939,https://ww2db.com/battle_spec.php?battle_id=228,The Pact of Steel
6/14/1939,8/20/1939,https://ww2db.com/battle_spec.php?battle_id=250,Tianjin Incident
8/16/1939,8/16/1939,https://ww2db.com/battle_spec.php?battle_id=164,Churchill's Tour of the Maginot Line
8/23/1939,8/23/1939,https://ww2db.com/battle_spec.php?battle_id=90,Molotov-Ribbentrop Pact
8/25/1939,8/25/1939,https://ww2db.com/battle_spec.php?battle_id=163,Polish-British Common Defense Pact
8/29/1939,9/1/1939,https://ww2db.com/battle_spec.php?battle_id=195,Operation Peking
9/1/1939,10/6/1939,https://ww2db.com/battle_spec.php?battle_id=28,Invasion of Poland
9/3/1939,6/30/1940,https://ww2db.com/battle_spec.php?battle_id=33,Start of the Battle of the Atlantic
9/5/1939,12/11/1941,https://ww2db.com/battle_spec.php?battle_id=336,United States Neutrality Patrol
9/17/1939,10/6/1939,https://ww2db.com/battle_spec.php?battle_id=179,First Battle of Changsha
9/27/1939,3/31/1940,https://ww2db.com/battle_spec.php?battle_id=299,Gestapo-NKVD Conferences
11/30/1939,3/13/1940,https://ww2db.com/battle_spec.php?battle_id=30,The Winter War
12/1/1939,3/30/1940,https://ww2db.com/battle_spec.php?battle_id=180,Winter Offensive
12/13/1939,12/17/1939,https://ww2db.com/battle_spec.php?battle_id=29,Battle of the River Plate
1/1/1940,12/29/1944,https://ww2db.com/battle_spec.php?battle_id=126,"Deportation of Caucasian, Altaic, and Turkish Peoples"
1/14/1940,1/14/1940,https://ww2db.com/battle_spec.php?battle_id=92,Enigma Code Broken
1/28/1940,4/3/1940,https://ww2db.com/battle_spec.php?battle_id=202,Battle of Wuyuan
2/16/1940,2/16/1940,https://ww2db.com/battle_spec.php?battle_id=165,Altmark Incident
4/3/1940,5/19/1940,https://ww2db.com/battle_spec.php?battle_id=149,Katyn Massacre and Related Atrocities
4/9/1940,6/10/1940,https://ww2db.com/battle_spec.php?battle_id=93,Invasion of Denmark and Norway
5/1/1940,6/18/1940,https://ww2db.com/battle_spec.php?battle_id=181,Battle of Zaoyang-Yichang
5/10/1940,5/19/1940,https://ww2db.com/battle_spec.php?battle_id=218,Invasion of Iceland
5/10/1940,6/22/1940,https://ww2db.com/battle_spec.php?battle_id=32,Invasion of France and the Low Countries
6/10/1940,6/10/1940,https://ww2db.com/battle_spec.php?battle_id=224,Anti-Italian Riots
6/11/1940,12/31/1942,https://ww2db.com/battle_spec.php?battle_id=94,Malta Campaign
6/15/1940,8/9/1940,https://ww2db.com/battle_spec.php?battle_id=283,Annexation of the Baltic States
6/22/1940,8/28/1944,https://ww2db.com/battle_spec.php?battle_id=153,The French Resistance
6/27/1940,8/30/1940,https://ww2db.com/battle_spec.php?battle_id=254,Soviet Demands on Romania and the Second Vienna Arbitration
7/1/1940,10/31/1940,https://ww2db.com/battle_spec.php?battle_id=207,First Happy Time
7/1/1940,5/7/1945,https://ww2db.com/battle_spec.php?battle_id=318,Bombing of France and the Low Countries
7/3/1940,9/25/1940,https://ww2db.com/battle_spec.php?battle_id=96,British Attacks on the French Fleet
7/10/1940,10/31/1940,https://ww2db.com/battle_spec.php?battle_id=95,Battle of Britain
7/19/1940,7/19/1940,https://ww2db.com/battle_spec.php?battle_id=230,Two-Ocean Navy Act
8/3/1940,8/19/1940,https://ww2db.com/battle_spec.php?battle_id=249,Invasion of British Somaliland
8/20/1940,9/30/1940,https://ww2db.com/battle_spec.php?battle_id=182,Hundred Regiments Offensive
9/9/1940,9/16/1940,https://ww2db.com/battle_spec.php?battle_id=251,Invasion of Egypt
9/23/1940,9/26/1940,https://ww2db.com/battle_spec.php?battle_id=44,Indochina Campaign
9/27/1940,9/27/1940,https://ww2db.com/battle_spec.php?battle_id=84,The Tripartite Pact
10/1/1940,1/31/1941,https://ww2db.com/battle_spec.php?battle_id=297,Franco-Thai War
10/4/1940,10/10/1940,https://ww2db.com/battle_spec.php?battle_id=321,Battle of Huangqiao
