colony,code,year,ruled_by,party
Albania,ALB,1816,Turkey,neutral
Albania,ALB,1817,Turkey,neutral
Albania,ALB,1818,Turkey,neutral
Albania,ALB,1819,Turkey,neutral
Albania,ALB,1820,Turkey,neutral
Albania,ALB,1821,Turkey,neutral
Albania,ALB,1822,Turkey,neutral
Albania,ALB,1823,Turkey,neutral
Albania,ALB,1824,Turkey,neutral
Albania,ALB,1825,Turkey,neutral
Albania,ALB,1826,Turkey,neutral
Albania,ALB,1827,Turkey,neutral
Albania,ALB,1828,Turkey,neutral
Albania,ALB,1829,Turkey,neutral
Albania,ALB,1830,Turkey,neutral
Albania,ALB,1831,Turkey,neutral
Albania,ALB,1832,Turkey,neutral
Albania,ALB,1833,Turkey,neutral
Albania,ALB,1834,Turkey,neutral
Albania,ALB,1835,Turkey,neutral
Albania,ALB,1836,Turkey,neutral
Albania,ALB,1837,Turkey,neutral
Albania,ALB,1838,Turkey,neutral
Albania,ALB,1839,Turkey,neutral
Albania,ALB,1840,Turkey,neutral
Albania,ALB,1841,Turkey,neutral
Albania,ALB,1842,Turkey,neutral
Albania,ALB,1843,Turkey,neutral
Albania,ALB,1844,Turkey,neutral
Albania,ALB,1845,Turkey,neutral
Albania,ALB,1846,Turkey,neutral
Albania,ALB,1847,Turkey,neutral
Albania,ALB,1848,Turkey,neutral
Albania,ALB,1849,Turkey,neutral
Albania,ALB,1850,Turkey,neutral
Albania,ALB,1851,Turkey,neutral
Albania,ALB,1852,Turkey,neutral
Albania,ALB,1853,Turkey,neutral
Albania,ALB,1854,Turkey,neutral
Albania,ALB,1855,Turkey,neutral
Albania,ALB,1856,Turkey,neutral
Albania,ALB,1857,Turkey,neutral
Albania,ALB,1858,Turkey,neutral
Albania,ALB,1859,Turkey,neutral
Albania,ALB,1860,Turkey,neutral
Albania,ALB,1861,Turkey,neutral
Albania,ALB,1862,Turkey,neutral
Albania,ALB,1863,Turkey,neutral
Albania,ALB,1864,Turkey,neutral
Albania,ALB,1865,Turkey,neutral
Albania,ALB,1866,Turkey,neutral
Albania,ALB,1867,Turkey,neutral
Albania,ALB,1868,Turkey,neutral
Albania,ALB,1869,Turkey,neutral
Albania,ALB,1870,Turkey,neutral
Albania,ALB,1871,Turkey,neutral
Albania,ALB,1872,Turkey,neutral
Albania,ALB,1873,Turkey,neutral
Albania,ALB,1874,Turkey,neutral
Albania,ALB,1875,Turkey,neutral
Albania,ALB,1876,Turkey,neutral
Albania,ALB,1877,Turkey,neutral
Albania,ALB,1878,Turkey,neutral
Albania,ALB,1879,Turkey,neutral
Albania,ALB,1880,Turkey,neutral
Albania,ALB,1881,Turkey,neutral
Albania,ALB,1882,Turkey,neutral
Albania,ALB,1883,Turkey,neutral
Albania,ALB,1884,Turkey,neutral
Albania,ALB,1885,Turkey,neutral
Albania,ALB,1886,Turkey,neutral
Albania,ALB,1887,Turkey,neutral
Albania,ALB,1888,Turkey,neutral
Albania,ALB,1889,Turkey,neutral
Albania,ALB,1890,Turkey,neutral
Albania,ALB,1891,Turkey,neutral
Albania,ALB,1892,Turkey,neutral
Albania,ALB,1893,Turkey,neutral
Albania,ALB,1894,Turkey,neutral
Albania,ALB,1895,Turkey,neutral
Albania,ALB,1896,Turkey,neutral
Albania,ALB,1897,Turkey,neutral
Albania,ALB,1898,Turkey,neutral
Albania,ALB,1899,Turkey,neutral
Albania,ALB,1900,Turkey,neutral
Albania,ALB,1901,Turkey,neutral
Albania,ALB,1902,Turkey,neutral
Albania,ALB,1903,Turkey,neutral
Albania,ALB,1904,Turkey,neutral
Albania,ALB,1905,Turkey,neutral
Albania,ALB,1906,Turkey,neutral
Albania,ALB,1907,Turkey,neutral
Albania,ALB,1908,Turkey,neutral
Albania,ALB,1909,Turkey,neutral
Albania,ALB,1910,Turkey,neutral
Albania,ALB,1911,Turkey,neutral
Albania,ALB,1912,Turkey,neutral
Algeria,DZA,1816,France,allies
Algeria,DZA,1817,France,allies
Algeria,DZA,1818,France,allies
Algeria,DZA,1819,France,allies
Algeria,DZA,1820,France,allies
Algeria,DZA,1821,France,allies
Algeria,DZA,1822,France,allies
Algeria,DZA,1823,France,allies
Algeria,DZA,1824,France,allies
Algeria,DZA,1825,France,allies
