colony,code,year,ruled_by,party
Algeria,DZA,1935,France,allies
Algeria,DZA,1936,France,allies
Algeria,DZA,1937,France,allies
Algeria,DZA,1938,France,allies
Algeria,DZA,1939,France,allies
Algeria,DZA,1940,France,allies
Algeria,DZA,1941,France,allies
Algeria,DZA,1942,France,allies
Algeria,DZA,1943,France,allies
Algeria,DZA,1944,France,allies
Algeria,DZA,1945,France,allies
Algeria,DZA,1946,France,allies
Algeria,DZA,1947,France,allies
Angola,AGO,1935,Portugal,neutral
Angola,AGO,1936,Portugal,neutral
Angola,AGO,1937,Portugal,neutral
Angola,AGO,1938,Portugal,neutral
Angola,AGO,1939,Portugal,neutral
Angola,AGO,1940,Portugal,neutral
Angola,AGO,1941,Portugal,neutral
Angola,AGO,1942,Portugal,neutral
Angola,AGO,1943,Portugal,neutral
Angola,AGO,1944,Portugal,neutral
Angola,AGO,1945,Portugal,neutral
Angola,AGO,1946,Portugal,neutral
Angola,AGO,1947,Portugal,neutral
Armenia,ARM,1935,Russia,allies
Armenia,ARM,1936,Russia,allies
Armenia,ARM,1937,Russia,allies
Armenia,ARM,1938,Russia,allies
Armenia,ARM,1939,Russia,allies
Armenia,ARM,1940,Russia,allies
Armenia,ARM,1941,Russia,allies
Armenia,ARM,1942,Russia,allies
Armenia,ARM,1943,Russia,allies
Armenia,ARM,1944,Russia,allies
Armenia,ARM,1945,Russia,allies
Armenia,ARM,1946,Russia,allies
Armenia,ARM,1947,Russia,allies
Austria,AUT,1935,Germany,axis
Austria,AUT,1936,Germany,axis
Austria,AUT,1937,Germany,axis
Austria,AUT,1938,Germany,axis
Austria,AUT,1939,Germany,axis
Austria,AUT,1940,Germany,axis
Austria,AUT,1941,Germany,axis
Austria,AUT,1942,Germany,axis
Austria,AUT,1943,Germany,axis
Austria,AUT,1944,Germany,axis
Azerbaijan,AZE,1935,Russia,allies
Azerbaijan,AZE,1936,Russia,allies
Azerbaijan,AZE,1937,Russia,allies
Azerbaijan,AZE,1938,Russia,allies
Azerbaijan,AZE,1939,Russia,allies
Azerbaijan,AZE,1940,Russia,allies
Azerbaijan,AZE,1941,Russia,allies
Azerbaijan,AZE,1942,Russia,allies
Azerbaijan,AZE,1943,Russia,allies
Azerbaijan,AZE,1944,Russia,allies
Azerbaijan,AZE,1945,Russia,allies
Azerbaijan,AZE,1946,Russia,allies
Azerbaijan,AZE,1947,Russia,allies
Bangladesh,BGD,1935,United Kingdom,allies
Bangladesh,BGD,1936,United Kingdom,allies
Bangladesh,BGD,1937,United Kingdom,allies
Bangladesh,BGD,1938,United Kingdom,allies
Bangladesh,BGD,1939,United Kingdom,allies
Bangladesh,BGD,1940,United Kingdom,allies
Bangladesh,BGD,1941,United Kingdom,allies
Bangladesh,BGD,1942,United Kingdom,allies
Bangladesh,BGD,1943,United Kingdom,allies
Bangladesh,BGD,1944,United Kingdom,allies
Bangladesh,BGD,1945,United Kingdom,allies
Bangladesh,BGD,1946,United Kingdom,allies
Bangladesh,BGD,1947,Pakistan,neutral
Belarus,BLR,1935,Russia,allies
Belarus,BLR,1936,Russia,allies
Belarus,BLR,1937,Russia,allies
Belarus,BLR,1938,Russia,allies
Belarus,BLR,1939,Russia,allies
Belarus,BLR,1940,Russia,allies
Belarus,BLR,1941,Russia,allies
Belarus,BLR,1942,Russia,allies
Belarus,BLR,1943,Russia,allies
Belarus,BLR,1944,Russia,allies
Belarus,BLR,1945,Russia,allies
Belarus,BLR,1946,Russia,allies
Belarus,BLR,1947,Russia,allies
Belgium,BEL,1935,Germany,axis
Belgium,BEL,1936,Germany,axis
Belgium,BEL,1937,Germany,axis
Belgium,BEL,1938,Germany,axis
Belize,BLZ,1935,United Kingdom,allies
Belize,BLZ,1936,United Kingdom,allies
Belize,BLZ,1937,United Kingdom,allies
Belize,BLZ,1938,United Kingdom,allies
Belize,BLZ,1939,United Kingdom,allies
Belize,BLZ,1940,United Kingdom,allies
Belize,BLZ,1941,United Kingdom,allies
Belize,BLZ,1942,United Kingdom,allies
Belize,BLZ,1943,United Kingdom,allies
Belize,BLZ,1944,United Kingdom,allies
Belize,BLZ,1945,United Kingdom,allies
Belize,BLZ,1946,United Kingdom,allies
Belize,BLZ,1947,United Kingdom,allies
Benin,BEN,1935,France,allies
Benin,BEN,1936,France,allies
Benin,BEN,1937,France,allies
Benin,BEN,1938,France,allies
Benin,BEN,1939,France,allies
Benin,BEN,1940,France,allies
Benin,BEN,1941,France,allies
Benin,BEN,1942,France,allies
Benin,BEN,1943,France,allies
Benin,BEN,1944,France,allies
Benin,BEN,1945,France,allies
Benin,BEN,1946,France,allies
Benin,BEN,1947,France,allies
Bosnia and Herzegovina,BIH,1935,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1936,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1937,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1938,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1939,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1940,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1941,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1942,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1943,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1944,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1945,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1946,Yugoslavia,neutral
Bosnia and Herzegovina,BIH,1947,Yugoslavia,neutral
Botswana,BWA,1935,United Kingdom,allies
Botswana,BWA,1936,United Kingdom,allies
Botswana,BWA,1937,United Kingdom,allies
Botswana,BWA,1938,United Kingdom,allies
Botswana,BWA,1939,United Kingdom,allies
Botswana,BWA,1940,United Kingdom,allies
Botswana,BWA,1941,United Kingdom,allies
Botswana,BWA,1942,United Kingdom,allies
Botswana,BWA,1943,United Kingdom,allies
Botswana,BWA,1944,United Kingdom,allies
Botswana,BWA,1945,United Kingdom,allies
Botswana,BWA,1946,United Kingdom,allies
Botswana,BWA,1947,United Kingdom,allies
Burkina Faso,BFA,1935,France,allies
Burkina Faso,BFA,1936,France,allies
Burkina Faso,BFA,1937,France,allies
Burkina Faso,BFA,1938,France,allies
Burkina Faso,BFA,1939,France,allies
Burkina Faso,BFA,1940,France,allies
Burkina Faso,BFA,1941,France,allies
Burkina Faso,BFA,1942,France,allies
Burkina Faso,BFA,1943,France,allies
Burkina Faso,BFA,1944,France,allies
